 /12-7-639, गट क्र.94,प्लाँट क्र.37,12-7-639 शंकरनगर, तरोडा खू.नांदेड
 /12-7-671, गट क्र.94,प्लाँट क्र. 94 Plot No. 41 चा उत्तर कडील भाग,12-7-671 शंकरनगर, तरोडा खू.नांदेड
 /1 ते तरोडा  खु
 /4
 /821, S.No.37/Gut No.93 तरोडा खु
 12-7, 12-7-847/1गटनं 95,97,98 पैकी प्लॉटनं 02  शिवराय नगर तरोडा खु  नांदेड
 12/7-12-7, दुकान नं. 111, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 113, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 18, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 23, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 30, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 31, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 33, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. 5, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, दुकान नं. UG-16, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 106, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, फ्लॅट नं. 109/B, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 111, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 202, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 203, राज गॅलेक्सी-एफ, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 203, राज गॅलेक्सी-डी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 205, राज गॅलेक्सी-एफ, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 206, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 207, राज गॅलेक्सी-सी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, फ्लॅट नं. 208/A, राज मॉल-बी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 209, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12/7-12-7, फ्लॅट नं. 213, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 215, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 305, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 311, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. 313, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. जी-2, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-12-7, फ्लॅट नं. जी-4, राज गॅलेक्सी-जी, वेदांतनगर, तरोडा (खु), नांदेड
 12-7-23351-7, गट नं.233, प्लॉट नं.51, व्यंकटेश नगर, तरोडा (खु), नांदेड व्‍यंकटेश नगर नांदेड 431605
 12-729-30-6, Gut No. 60,61,62, मुळगाव Plot No. 29,30 तरोडा खु नांदेड
 12/7-344/1, ग.नं.240 प्लॉट नं.5 द.भाग  भालचंद्र नगर तरोडा खु.
 12/7-344, ग.नं.240 प्लॉट क्र.5 चा पु.भाग भालचंद्र नगर तरोउा खु.
 12-7-356, ग.नं.243  प्लॉट नं.5 तरोडा खु.
 12-7-357, ग.नं.243 प्लॉट नं.6 भालचंद्र नगर तरोउा खु.
 12/7-364, ग.नं.243 प्लॉट क्र.14 भालचंद्र नगर तरोडा खु.
 12-7--510, जुना घर नं 224 मुळगांव 12-7-510 तरोडा खु नांदेड
 12-7-520, प्लॉट नं.115 चा भाग  मुळगाव तरोडा खु.
 12-7-589, प्लॉट नं.179 पैकी  उ.भाग  मुळगाव नांदेड
 12-760-7, गट नं.मुळगांव गावठाण प्लॉट नं.18, तरोडा खु नांदेड
 12-760-7, मुळगाव, घर नं. 60,180,94, तरोडा खु नांदेड
 12-7-610-7, Gut No. 94 Plot No. 45 चा   दक्षिण भाग 90,91,92,93,94,95,96,98,99 नांदेड
 12/7-713/1, गट क्रं. 93 पैकी प्लॉट क्रं. 84 चा द.भाग तरोडा खु.नांदेड
 12/7-713, गट क्र.93,प्लाँट क्र.84 चा उ.भाग, जि.प.कॉलनी, तरोडा खु.नांदेड
 12/7-791, 12-7-791 गट क्र.91,प्लाँट क्र.10,29 तरोडा खु.नांदेड
 12-7-795, ग.नं.94 प्लॉट नं.32 चा द.भाग  शंकर नगर तरोडा खु.नांदेड
 12-7-7, गट क्र.233 प्लॉट क्र.15 व 16 व्यंकटेशनगर तरोडा खु. नांदेड
 12-7--7, गट क्र.233 प्लॉट क्र.1 व 2 व्यंकटेश नगर, तरोडा खु. नांदेड
 12-7-7, गट क्र.237 प्लॉट क्र.01 गजानन नगर, तरोडा खु. नांदेड गजानन नगर नांदेड
 12-7-7, गट क्र.237 प्लॉट क्र.02 गजानन नगर, तरोडा खु. नांदेड गजानन नगर नांदेड
 12-7-7, गट क्र.94 प्लॉट क्र.34 शंकरनगर, तरोडा खू.नांदेड
 12/7, 7 गट क्रं.93, प्लॉट क्रं.72, तरोडा खु., नांदेड
 12/7-7, राजसिट नगर, गट क्र.93 प्लॉट क्र.31 चा उत्तरेकडील भाग तरोडा खु . नादेड
 12/7-858/1, गट क्रं.87 प्लॉट क्रं.15 चा द.भाग तरोडा खु,नांदेड
 12-7-882, गट नं 92 प्लॉट नं 9
 12/7-901, गट नं 90 प्लॉट (नाही) २० आर बेला नगर तरोडा खु
 12/7, Gut No. 222,223,224,225,227,228, Plot No. 2/1 चा पश्‍चीम भाग व्‍यंकटेश नगर नांदेड
 12/7, Gut No. 222, Plot No. 22 व्‍यंकटेश नगर तरोडा खु.नांदेड
 12/7--, Gut No. 225 Plot No. 29 व्‍यंकटेश नगर तरोडा खु. नांदेड
 12/7, Gut No. 87 Plot No. 14 तरोडा खु.नांदेड
 12/7, Gut No. 87 Plot No. 16 तरोडा खु.नांदेड
 12/7--, Gut No. 87 Plot No. 16 स्‍वप्‍नजा टाऊन  नांदेड
 12/7, Gut No. 87 Plot No. 5 तरोडा खु.नांदेड
 12-7, Gut No. ,94, Plot No. 3/A तरोडा खु.नांदेड
 12/7, Gut No. 94 Plot No. 45 उ.भाग तरोडा खु,नांदेड
 12/7, ग.क्र.237व238प्लॉ.नं.6 अ व्यंकटेश नगर, तरोडा (खु.) नांदेड
 12/7--, गट क्र.233 पैकी प्लॉट क्रं. 61 तरोडा खु. नांदेड
 12/7, गट क्र.237 व 238 प्लॉट न.06/क व्यंकटेश नगर, तरोडा (खु.) नांदेड
 12/7, गट क्र.237 व 238 प्लॉट न.06/ब व्यंकटेश नगर, तरोडा (खु.) नांदेड
 12/7, गट क्र.238,प्लाँट क्र.03 चा उ.भाग व्यंकटेशनगर, तरोडा खु  नांदेड
 12-7, गट क्र.93 प्लॉट क्र.51 चा पु.भाग बेलानगर  तरोडा खु. नांदेड
 127, गट क्र.94,प्लाँट क्र.56,57,12-7-691 शंकरनगर, तरोडा खू.नांदेड
 12/7, गट क्र.94,प्लाँट क्र.56, शंकरनगर, तरोडा खू.नांदेड
 12/7--, गट क्रं.102 पैकी प्लॉट क्रं.09 चा उ.भाग  तरोडा खु.नांदेड
 12/7--, गट क्रं. 102 पैकी प्लॉट क्रं. 14 चा उ. भाग शिवराय नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 102 पैकी प्लॉट क्रं. 14 चा द.क. भाग शिवराय नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 102 पैकी प्लॉट क्रं. 14 चा मधला भाग शिवराय नगर तरोडा खु. नांदेड
 12/7--, गट क्रं.108 प्लॉट क्रं.12 चा उ.भाग तरोडा खु.नांदेड
 12/7--, गट क्रं.138 पैकी प्लॉट क्रं.45 तरोडा खु.नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 01,05, व 03 चा भाग  वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं.22 तरोडा खु. नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील दुकान क्रं.03 वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04,05, व 03 चा भाग  वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं.102/बी वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.103/बी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.104/ए वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.104/बी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.105/सी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.106/बी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.107/ए वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.108/बी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.201/सी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.202/सी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.205/सी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.207/ए वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं.218 पैकी प्लॉट क्रं.04,05 व 03 चा भाग वरील बांधलेले राज मॉल बी मधील फ्लॅट क्रं.207/बी वेदांत नगर तरोडा खु.नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज गॅलक्सी बी” मधील फ्लॅट क्रं. 101/सी वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज गॅलक्सी बी” मधील फ्लॅट क्रं. 201/ए वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मार्केट” मधील दुकान क्रं. 10 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 01 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 06 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 09 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 24 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 25 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 29 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील दुकान क्रं. 32 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तळ मजल्या वरील फ्लॅट क्रं. 104 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील तिस-या मजल्या वरील फ्लॅट क्रं. – 206/सी वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 08 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 10 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 118 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 11 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 12 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 13 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 14 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 16 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 19 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 20 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 21 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. 26 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. युजी - 09 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. युजी - 10 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुकान क्रं. युजी - 11 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील दुस-या मजल्या वरील फ्लॅट क्रं. – 105/ए वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 109 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 112 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 117 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 122 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 123 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 124 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 126 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील दुकान क्रं. 133 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पहील्या मजल्या वरील फ्लॅट क्रं. 203 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पार्कींग मजल्या वरील दुकान क्रं. युजी - 03 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पार्कींग मजल्या वरील दुकान क्रं. युजी - 05 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पार्कींग मजल्या वरील दुकान क्रं. युजी-15 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पार्कींग मजल्या वरील फ्लॅट क्रं. युजी - 01 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील पार्कींग मजल्या वरील फ्लॅट क्रं. युजी - 02 वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं. 101/ए वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं. 101/बी वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं. 102/सी वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं. 103/ए वेदांत नगर तरोडा खु. नांदेड
 12/7--, गट क्रं. 218 पैकी प्लॉट क्रं. 04 व 05 पुर्ण व प्लॉट क्र.03 च्या भागा वरील बांधलेले “राज मॉल बी” मधील फ्लॅट क्रं. 103/सी वेदांत नगर तरोडा खु. नांदेड
